url,brand,model,ram,rom,battery,network,sim,warranty_months,discount,price,location,image_url
https://www.lazada.vn/products/pdp-i3072999002.html,Samsung,a55,,,,5G,,0,50,1100000,Hà Nội,https://img.lazcdn.com/g/p/1d3dc590396f33e0b4fe9062d507d14f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3072989048.html,Redmi,note 11 pro,,,,,2,0,50,800000,Hà Nội,https://img.lazcdn.com/g/p/a4a317aaa363f909b0125c001e29efa0.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3072988052.html,Xiaomi,15 utra c,,,,,,0,50,1600000,Hà Nội,https://img.lazcdn.com/g/p/e1b036f4d90d6246add04aa67b41a053.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3072946240.html,Samsung,z fold 5,,,,,,0,50,1600000,Hà Nội,https://img.lazcdn.com/g/p/6e1e3696a85a2b650580f645ba8f2fc7.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3072889341.html,Redmi,note 12,8GB,128GB,5000 mAh,,,0,50,800000,Hà Nội,https://img.lazcdn.com/g/p/007c3af28afea99fb048a87be68d07c9.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3072875386.html,OPPO,ren08pro,12GB,256GB,,5G,,0,50,900000,Hà Nội,https://img.lazcdn.com/g/p/674c91cf325950e41cd7550b3f1864cd.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3072280598.html,Samsung,m15,4GB,128GB,,5G,,0,9,4002000,Bến Tre,https://img.lazcdn.com/g/p/90199708e9e2cb60ef3dd9862761519a.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3071032645.html,Xiaomi,poco c75 h,,,,,,0,12,2990000,Hà Nội,https://img.lazcdn.com/g/p/3a2d46b8206593cc4bf4d3fb1a51de8d.png_200x200q80.avif
https://www.lazada.vn/products/pdp-i3069345271.html,Unknown,,,,,,,0,47,1118642,Hà Nội,https://img.lazcdn.com/g/p/28796fc6f5be8a1322194e0d2b445051.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3069177382.html,Samsung,a06,4GB,128GB,,5G,,0,28,3254000,Bến Tre,https://img.lazcdn.com/g/p/c289385ea137d4c7c025ef0e6517b4a6.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3069075665.html,Samsung,galaxy a06,,,,5G,,0,18,3279000,Bến Tre,https://img.lazcdn.com/g/p/59062e1a045a60ac97a52d2c9adbfd5f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3069070349.html,Xiaomi,redmi a3,,,,,,0,12,1845000,Hà Nội,https://img.lazcdn.com/g/p/8cd5dbd39599fe2244af60a5cf3df176.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3069034611.html,Samsung,a26,8GB,128GB,,5G,,0,10,6283000,Bến Tre,https://img.lazcdn.com/g/p/7c21e76cc1aa56c2774566391e382b9a.jpg_200x200q80.avif
